,photo_name,code_folder,metadata,sentence
290,QD-2018-DSC102759.JPG,p363,"[['p363', 'Petroglyph Site 2', 'Petroglyphs', '34.572262', '76.550842']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site 2 (code: p363, type: Petroglyphs, coordinates : 34.572262°N 76.550842°E). More information: ladakharcheology.com"
291,QD-2018-DSC102760.JPG,p363,"[['p363', 'Petroglyph Site 2', 'Petroglyphs', '34.572262', '76.550842']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site 2 (code: p363, type: Petroglyphs, coordinates : 34.572262°N 76.550842°E). More information: ladakharcheology.com"
292,QD-2018-DSC102761.JPG,p363,"[['p363', 'Petroglyph Site 2', 'Petroglyphs', '34.572262', '76.550842']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site 2 (code: p363, type: Petroglyphs, coordinates : 34.572262°N 76.550842°E). More information: ladakharcheology.com"
293,QD-2018-DSC102762.JPG,p363,"[['p363', 'Petroglyph Site 2', 'Petroglyphs', '34.572262', '76.550842']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site 2 (code: p363, type: Petroglyphs, coordinates : 34.572262°N 76.550842°E). More information: ladakharcheology.com"
294,QD-2018-DSC102763.JPG,p363,"[['p363', 'Petroglyph Site 2', 'Petroglyphs', '34.572262', '76.550842']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site 2 (code: p363, type: Petroglyphs, coordinates : 34.572262°N 76.550842°E). More information: ladakharcheology.com"
295,QD-2018-DSC103575.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
296,QD-2018-DSC103576.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
297,QD-2018-DSC103577.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
298,QD-2018-DSC103578.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
299,QD-2018-DSC103579.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
300,QD-2018-DSC103580.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
301,QD-2018-DSC103581.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
302,QD-2018-DSC103582.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
303,QD-2018-DSC103583.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
304,QD-2018-DSC103584.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
305,QD-2018-DSC103585.JPG,f126,"[['f126', 'Fort 1', 'Fort', '34.133584', '77.445720']]","This is a picture of a heritage site in Ladakh. The site is : Fort 1 (code: f126, type: Fort, coordinates : 34.133584°N 77.445720°E). More information: ladakharcheology.com"
306,QD-2018-DSC106148.JPG,t545,"[['t545', 'Tashi Thongmon Gonpa', 'Monastery', 33.740438, 77.75431400000001]]","This is a picture of a heritage site in Ladakh. The site is : Tashi Thongmon Gonpa (code: t545, type: Monastery, coordinates : 33.740438°N 77.75431400000001°E). More information: ladakharcheology.com"
307,QD-2018-DSC106149.JPG,t545,"[['t545', 'Tashi Thongmon Gonpa', 'Monastery', 33.740438, 77.75431400000001]]","This is a picture of a heritage site in Ladakh. The site is : Tashi Thongmon Gonpa (code: t545, type: Monastery, coordinates : 33.740438°N 77.75431400000001°E). More information: ladakharcheology.com"
308,QD-2018-DSC106150.JPG,t545,"[['t545', 'Tashi Thongmon Gonpa', 'Monastery', 33.740438, 77.75431400000001]]","This is a picture of a heritage site in Ladakh. The site is : Tashi Thongmon Gonpa (code: t545, type: Monastery, coordinates : 33.740438°N 77.75431400000001°E). More information: ladakharcheology.com"
